,UKDMOGI.CASHRAISED.B
,Cash Raised
2025-04-02,1922.1499
2025-04-03,3832.5237
2025-04-08,2406.1991
2025-04-09,4568.371
2025-04-15,3956.1831
2025-04-16,1361.64
2025-04-24,2082.7204
2025-04-29,928.7367
2025-04-30,5706.1508
2025-05-07,5721.8127
2025-05-13,1002.056
2025-05-14,4826.7631
2025-05-15,1813.9575
2025-05-20,3974.64
2025-05-21,4665.3477
2025-05-28,2072.6966
2025-05-29,1611.3526
2025-06-03,1121.3919
2025-06-04,5973.2186
2025-06-10,5493.73
2025-06-11,4220.6169
2025-06-17,5699.8172
2025-06-24,1740.63
2025-06-25,3089.6056
2025-06-26,882.517
2025-07-01,919.0576
2025-07-02,5117.0279
2025-07-08,841.6087
2025-07-09,4711.6894
2025-07-15,1005.2639
2025-07-16,1493.9956
2025-07-17,5963.87
2025-07-22,1978.9378
2025-07-23,3485.9614
2025-07-29,6316.3913
2025-07-30,230.7192
2025-08-05,5615.3659
2025-08-12,4819.1705
2025-08-19,1909.3445
2025-08-27,5203.8917
2025-09-02,13835.08
2025-09-04,754.3172
2025-09-09,1696.603
2025-09-10,3955.5326
2025-09-11,1002.5035
2025-09-11,1118.6737
2025-09-16,2795.2856
2025-09-23,1580.2765
2025-09-24,4803.4529
2025-09-25,1242.3157
2025-09-25,733.5347
2025-10-01,1696.4889
2025-10-02,4492.5469
2025-10-07,1149.6643
2025-10-08,5354.1023
2025-10-14,9130.14
2025-10-15,1989.1428
2025-10-21,676.8355
2025-10-23,5495.5546
2025-10-28,1875.3218
2025-10-29,4668.1779
2025-10-30,1269.3435
2025-11-04,5075.2995
2025-11-12,4304.05
2025-11-18,1298.4964
2025-11-19,4549.8419
2025-11-20,295.5981
2025-11-25,5634.7326
2025-12-02,1320.4935
2025-12-03,5964.6703
2025-12-04,943.7774
2025-12-09,755.9823
2025-12-10,5684.4606
2025-12-16,4813.0582
2026-01-07,5231.7394
2026-01-13,
2026-01-14,
2026-01-21,
2026-01-27,
2026-02-03,
2026-02-10,
2026-02-24,
2026-03-05,
2026-03-12,
2026-03-17,
2026-03-24,
