,UKDMOGI.CASHRAISED.B
,Cash Raised
2024-01-04,3308.36
2024-01-09,2945.0968
2024-01-10,4979.5421
2024-01-16,1588.9866
2024-01-17,3950.5832
2024-01-23,5796.48
2024-01-24,4114.4911
2024-01-30,895.2268
2024-01-31,
2024-02-06,1265.132
2024-02-07,3955.9882
2024-02-13,1863.0428
2024-02-14,3899.6513
2024-02-20,1934.7146
2024-02-21,5078.5864
2024-02-27,997.5561
2024-02-28,3977.627
2024-03-05,4613.1549
2024-03-12,4953.1947
2024-03-13,4007.8
2024-03-19,2591.7955
2024-03-22,
2024-03-26,3065.6213
2024-04-04,3933.982
2024-04-09,2875.341
2024-04-10,4937.8507
2024-04-16,1702.279
2024-04-17,3697.4696
2024-04-22,
2024-04-24,6300.855
2024-04-30,3976.8527
2024-05-01,3824.7007
2024-05-08,1275.4414
2024-05-14,512.4299
2024-05-15,2269.5768
2024-05-21,2873.419
2024-05-22,4552.3856
2024-05-29,1126.8353
2024-06-04,1797.0593
2024-06-05,4902.6431
2024-06-11,10899.13
2024-06-12,990.2291
2024-06-18,5009.7115
2024-06-25,1902.4208
2024-06-26,2827.4483
2024-07-02,4038.6531
2024-07-09,4377.7372
2024-07-11,3732.25
2024-07-16,2895.4297
2024-07-17,4018.3485
2024-07-23,1409.5965
2024-07-24,2466.9857
2024-07-30,4312.5344
2024-08-06,2621.772
2024-08-07,4068.8044
2024-08-13,3603.4904
2024-08-21,3970.4145
2024-08-28,1651.4764
2024-09-03,8014.08
2024-09-05,4055.1879
2024-09-07,
2024-09-10,951.616
2024-09-11,3900.907
2024-09-12,1908.4465
2024-09-17,2768.8432
2024-09-18,2161.7853
2024-09-24,1818.2412
2024-09-25,3792.8199
2024-10-01,2930.6423
2024-10-02,4062.6472
2024-10-08,1321.0518
2024-10-09,3792.22
2024-10-15,2651.5332
2024-10-16,4378.1417
2024-10-22,1014.7439
2024-10-23,4751.5033
2024-10-29,3995.7878
2024-10-31,1091.9692
2024-11-05,3683.4256
2024-11-12,2237.8742
2024-11-13,4053.6453
2024-11-19,2991.5196
2024-11-21,1911.0712
2024-11-26,4024.7536
2024-12-03,2646.7669
2024-12-04,3963.1191
2024-12-05,270.496
2024-12-10,1569.2804
2024-12-11,3974.1117
2024-12-17,3715.3002
2025-01-07,1986.6924
2025-01-08,4227.2327
2025-01-14,985.7029
2025-01-15,4788.5019
2025-01-21,7924.21
2025-01-23,5311.0997
2025-01-28,1499.564
2025-01-29,2243.4967
2025-01-30,1445.3065
2025-02-04,5335.5471
2025-02-05,947.3729
2025-02-11,12942.28
2025-02-12,874.0929
2025-02-18,1706.7206
2025-02-19,4259.6964
2025-02-25,1914.9104
2025-02-27,3092.0688
2025-03-04,2501.741
2025-03-05,4261.4371
2025-03-11,4847.1
2025-03-12,3943.199
2025-03-18,5328.8427
2025-03-25,1886.3675
2025-03-27,3640.6721
2025-04-02,1922.1499
2025-04-03,3832.5237
2025-04-08,2406.1991
2025-04-09,4568.371
2025-04-15,3956.1831
2025-04-16,1361.64
2025-04-24,2082.7204
2025-04-29,928.7367
2025-04-30,5706.1508
2025-05-07,5721.8127
2025-05-13,1002.056
2025-05-14,4826.7631
2025-05-20,3974.64
2025-05-21,4665.3477
2025-05-28,2072.6966
2025-05-29,1611.3526
2025-06-03,1121.3919
2025-06-04,5973.2186
2025-06-10,5493.73
2025-06-11,4220.6169
2025-06-17,5699.8172
2025-06-24,1740.63
2025-06-25,3089.6056
2025-06-26,882.517
2025-07-01,919.0576
2025-07-02,5117.0279
2025-07-08,841.6087
2025-07-09,4711.6894
2025-07-15,1005.2639
2025-07-16,1493.9956
2025-07-17,5963.87
2025-07-22,1978.9378
2025-07-23,3485.9614
2025-07-29,6316.3913
2025-07-30,230.7192
2025-08-05,5615.3659
2025-08-12,4819.1705
2025-08-19,1909.3445
2025-08-27,5203.8917
2025-09-04,754.3172
2025-09-09,1696.603
2025-09-10,"3,955.53"
2025-09-11,2121.1772
2025-09-16,2795.2856
2025-09-23,1580.2765
2025-09-24,4803.4529
2025-09-25,1975.8504
2025-10-01,1696.4889
2025-10-02,4492.5469
2025-10-08,5354.1023
2025-10-15,1989.1428
2025-10-21,676.8355
2025-10-23,5495.5546
2025-10-28,1875.3218
2025-10-29,4668.1779
2025-10-30,1269.3435
2025-11-04,5075.2995
2025-11-12,4304.05
2025-11-18,1298.4964
2025-11-19,4549.8419
2025-11-20,295.5981
2025-11-25,5634.7326
2025-12-02,1320.4935
2025-12-03,5964.6703
2025-12-04,943.7774
2025-12-10,5684.4606
2025-12-16,4813.0582
